epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3632,0.83366,5.92234,0.07105,0.01556,0.37755,0.65336,0.49724,0.40916,0.58321,8.40295,0.06928,0.00539,0.000544553,0.000544553,0.000544553
2,25.7836,0.46032,3.09101,0.05799,0.0029,0.79956,0.77033,0.87937,0.81895,0.40446,4.66387,0.05883,0.01363,0.00108933,0.00108933,0.00108933
3,33.6545,0.42649,1.90942,0.05683,0.00251,0.80947,0.70089,0.83977,0.76995,0.44819,3.26209,0.05748,0.00942,0.0016231,0.0016231,0.0016231
4,43.3567,0.39315,1.32546,0.05465,0.00194,0.98121,0.74851,0.93905,0.87883,0.35961,2.24451,0.05432,0.01016,0.00161749,0.00161749,0.00161749
5,53.258,0.38579,1.04591,0.05928,0.00174,0.83342,0.82028,0.90644,0.88284,0.30607,1.83229,0.05391,0.01049,0.00160099,0.00160099,0.00160099
6,65.0032,0.35735,0.80846,0.05222,0.00175,0.89814,0.87934,0.94912,0.89728,0.33092,1.31383,0.0473,0.00966,0.00158448,0.00158448,0.00158448
7,74.7681,0.3764,0.67958,0.05355,0.002,0.88087,0.84458,0.94927,0.90679,0.34506,1.04235,0.05468,0.01096,0.00156798,0.00156798,0.00156798
8,87.905,0.35421,0.62744,0.05489,0.00156,0.90761,0.86506,0.95422,0.92986,0.26826,0.80501,0.04805,0.00982,0.00155148,0.00155148,0.00155148
9,97.8643,0.33145,0.52249,0.05194,0.00152,0.84873,0.80145,0.92046,0.88678,0.29922,0.85911,0.05161,0.00981,0.00153497,0.00153497,0.00153497
10,109.557,0.33505,0.50728,0.05401,0.00124,0.89215,0.86607,0.92272,0.90259,0.21459,0.81866,0.04619,0.01054,0.00151847,0.00151847,0.00151847
11,122.224,0.31254,0.4655,0.05093,0.00118,0.9438,0.92213,0.96876,0.94442,0.23767,0.50536,0.04975,0.01088,0.00150197,0.00150197,0.00150197
12,134.201,0.31085,0.4232,0.05602,0.00116,0.89835,0.94471,0.96452,0.94733,0.21032,0.51418,0.04578,0.00968,0.00148546,0.00148546,0.00148546
13,145.264,0.3212,0.43665,0.052,0.00133,0.87595,0.90625,0.94519,0.9324,0.2152,0.48114,0.04578,0.00933,0.00146896,0.00146896,0.00146896
14,159.104,0.29898,0.39706,0.05475,0.00117,0.81582,0.91468,0.93448,0.91462,0.24441,0.55013,0.04568,0.0104,0.00145246,0.00145246,0.00145246
15,170.801,0.30514,0.37914,0.05308,0.00128,0.93424,0.78503,0.93894,0.9041,0.27642,0.54914,0.05154,0.01116,0.00143595,0.00143595,0.00143595
