epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3744,0.64111,6.21502,0.06396,0.0103,0.28781,0.56399,0.43475,0.36044,0.52398,4.28641,0.06181,0.03596,0.000544553,0.000544553,0.000544553
2,24.3171,0.46515,1.13925,0.05606,0.0045,0.80869,0.37874,0.54759,0.47446,0.75395,2.43253,0.0787,0.03392,0.00108933,0.00108933,0.00108933
3,35.6937,0.48667,0.7047,0.0575,0.00433,0.87346,0.48289,0.57591,0.50112,0.8897,1.87374,0.08576,0.01635,0.0016231,0.0016231,0.0016231
4,48.5811,0.48729,0.59492,0.05764,0.00441,0.85873,0.72775,0.84431,0.67556,0.74787,1.25586,0.07294,0.01513,0.00161749,0.00161749,0.00161749
5,60.4695,0.49377,0.55388,0.06365,0.00361,0.86437,0.80082,0.86098,0.75802,0.75995,1.03733,0.05617,0.02048,0.00160099,0.00160099,0.00160099
6,72.9051,0.44123,0.4864,0.05458,0.00382,0.87817,0.81976,0.8527,0.80378,0.3583,1.01817,0.05591,0.01645,0.00158448,0.00158448,0.00158448
7,85.8265,0.41314,0.42336,0.05483,0.00258,0.86942,0.79764,0.86094,0.78463,0.37155,0.74244,0.05445,0.01437,0.00156798,0.00156798,0.00156798
8,99.1903,0.4426,0.46205,0.05731,0.00217,0.87439,0.75521,0.85326,0.80071,0.42338,0.61539,0.05654,0.01475,0.00155148,0.00155148,0.00155148
9,112.318,0.40761,0.38269,0.05397,0.00205,0.70517,0.77716,0.7736,0.66294,0.80201,0.95107,0.06358,0.01443,0.00153497,0.00153497,0.00153497
10,126.938,0.39674,0.40346,0.05562,0.00209,0.84154,0.65734,0.68811,0.65062,0.40153,1.26732,0.05754,0.01496,0.00151847,0.00151847,0.00151847
11,142.299,0.37841,0.40775,0.05411,0.00228,0.88513,0.84442,0.95021,0.85577,0.49923,0.52813,0.05458,0.02737,0.00150197,0.00150197,0.00150197
12,159.643,0.38522,0.36121,0.0575,0.00226,0.90051,0.92553,0.97287,0.86511,0.4953,0.41479,0.0644,0.01189,0.00148546,0.00148546,0.00148546
13,178.8,0.39503,0.38633,0.05444,0.00209,0.92267,0.91892,0.95798,0.89989,0.38882,0.50626,0.05821,0.01425,0.00146896,0.00146896,0.00146896
14,194.164,0.36849,0.35534,0.0572,0.00181,0.93531,0.89458,0.95284,0.91924,0.24549,0.33348,0.04868,0.01219,0.00145246,0.00145246,0.00145246
15,211.058,0.36453,0.31626,0.05468,0.00203,0.94226,0.90378,0.95028,0.87225,0.4149,0.66573,0.05029,0.01489,0.00143595,0.00143595,0.00143595
16,229.729,0.36261,0.29313,0.05477,0.00203,0.96526,0.8693,0.91288,0.84131,0.61312,0.51746,0.04977,0.01131,0.00141945,0.00141945,0.00141945
17,245.117,0.35246,0.31448,0.05509,0.00192,0.86029,0.88525,0.88818,0.82312,0.46068,0.53942,0.04902,0.01322,0.00140295,0.00140295,0.00140295
18,264.831,0.33403,0.30671,0.05216,0.00151,0.88125,0.86607,0.91939,0.8651,0.33311,0.7199,0.05273,0.01354,0.00138644,0.00138644,0.00138644
19,281.85,0.35495,0.33115,0.05432,0.00164,0.90376,0.90393,0.93329,0.88931,0.37894,1.157,0.05227,0.01413,0.00136994,0.00136994,0.00136994
20,299.109,0.33623,0.29927,0.05168,0.00174,0.87666,0.93595,0.96088,0.87829,0.34263,0.41271,0.05534,0.01373,0.00135344,0.00135344,0.00135344
21,318.668,0.32392,0.29836,0.05056,0.00174,0.9319,0.85045,0.91444,0.87947,0.27722,0.46316,0.05023,0.01232,0.00133693,0.00133693,0.00133693
22,332.396,0.31671,0.30098,0.05419,0.00166,0.92398,0.81455,0.85264,0.81455,0.32292,0.94529,0.05048,0.01586,0.00132043,0.00132043,0.00132043
23,347.519,0.30895,0.25842,0.05176,0.00165,0.89067,0.95181,0.95458,0.92554,0.29039,0.44171,0.05117,0.01344,0.00130393,0.00130393,0.00130393
24,366.565,0.33001,0.2749,0.0537,0.00163,0.9056,0.95128,0.97736,0.94005,0.26834,0.2757,0.04931,0.01105,0.00128742,0.00128742,0.00128742
25,381.673,0.32628,0.26909,0.05585,0.00145,0.9325,0.9187,0.97362,0.94544,0.36234,0.425,0.04609,0.01478,0.00127092,0.00127092,0.00127092
26,397.33,0.30213,0.25665,0.05646,0.00115,0.92952,0.91004,0.95141,0.91349,0.30387,0.35054,0.05214,0.01301,0.00125442,0.00125442,0.00125442
27,412.274,0.3048,0.25698,0.05769,0.00112,0.97384,0.89062,0.95975,0.94238,0.24799,0.24731,0.04897,0.01329,0.00123791,0.00123791,0.00123791
28,428.005,0.29084,0.2591,0.05473,0.0013,0.93482,0.89586,0.94484,0.86463,0.41231,0.68597,0.05776,0.01237,0.00122141,0.00122141,0.00122141
29,444.146,0.31784,0.27441,0.05596,0.00123,0.92971,0.85999,0.93437,0.89165,0.332,0.36154,0.05231,0.01145,0.00120491,0.00120491,0.00120491
30,461.275,0.3002,0.25839,0.05241,0.00107,0.87808,0.94347,0.95145,0.89624,0.35473,0.33635,0.05294,0.01382,0.0011884,0.0011884,0.0011884
31,479.807,0.29427,0.2367,0.05334,0.00134,0.97669,0.86656,0.96285,0.93192,0.28818,0.61116,0.0472,0.0138,0.0011719,0.0011719,0.0011719
32,498.496,0.29665,0.24319,0.05092,0.00123,0.8991,0.90472,0.91748,0.87406,0.31965,0.53144,0.05376,0.01151,0.0011554,0.0011554,0.0011554
33,514.31,0.26979,0.24385,0.05469,0.00103,0.92476,0.94352,0.94975,0.91219,0.23941,0.33327,0.04707,0.01263,0.00113889,0.00113889,0.00113889
34,535.091,0.28301,0.24435,0.05835,0.00101,0.86615,0.87838,0.89652,0.88602,0.21235,0.49861,0.04716,0.0142,0.00112239,0.00112239,0.00112239
35,551.607,0.27912,0.24389,0.05538,0.00096,0.93269,0.97581,0.97469,0.95774,0.21753,0.23956,0.04465,0.01427,0.00110589,0.00110589,0.00110589
36,566.436,0.27843,0.22418,0.051,0.00098,0.89723,0.90916,0.94805,0.9207,0.25091,0.47441,0.04874,0.01266,0.00108938,0.00108938,0.00108938
37,585.425,0.26743,0.22593,0.05532,0.00087,0.95566,0.94648,0.96807,0.95124,0.22486,0.28006,0.04751,0.01246,0.00107288,0.00107288,0.00107288
